GEO.id,GEO.id2,GEO.display-label,publicWalkBike
Id,Id2,Geography,publicWalkBike
0400000US01,1,Alabama,1.7
0400000US02,2,Alaska,10.2
0400000US04,4,Arizona,5.1
0400000US05,5,Arkansas,2.3
0400000US06,6,California,9.2
0400000US08,8,Colorado,7.3
0400000US09,9,Connecticut,8.2
0400000US10,10,Delaware,5.3
0400000US11,11,District of Columbia,53.1
0400000US12,12,Florida,4.2
0400000US13,13,Georgia,3.9
0400000US15,15,Hawaii,13
0400000US16,16,Idaho,4.2
0400000US17,17,Illinois,13.1
0400000US18,18,Indiana,3.5
0400000US19,19,Iowa,4.9
0400000US20,20,Kansas,3.3
0400000US21,21,Kentucky,3.8
0400000US22,22,Louisiana,3.8
0400000US23,23,Maine,5.2
0400000US24,24,Maryland,11.6
0400000US25,25,Massachusetts,15.5
0400000US26,26,Michigan,4.1
0400000US27,27,Minnesota,7.5
0400000US28,28,Mississippi,1.8
0400000US29,29,Missouri,4
0400000US30,30,Montana,6.9
0400000US31,31,Nebraska,4
0400000US32,32,Nevada,6.9
0400000US33,33,New Hampshire,3.6
0400000US34,34,New Jersey,14.5
0400000US35,35,New Mexico,4.2
0400000US36,36,New York,35.2
0400000US37,37,North Carolina,3.2
0400000US38,38,North Dakota,4.5
0400000US39,39,Ohio,4.2
0400000US40,40,Oklahoma,2.4
0400000US41,41,Oregon,11.3
0400000US42,42,Pennsylvania,10.1
0400000US44,44,Rhode Island,7.4
0400000US45,45,South Carolina,3.2
0400000US46,46,South Dakota,5.1
0400000US47,47,Tennessee,2.5
0400000US48,48,Texas,3.5
0400000US49,49,Utah,5.6
0400000US50,50,Vermont,7.1
0400000US51,51,Virginia,7.3
0400000US53,53,Washington,10.8
0400000US54,54,West Virginia,3.9
0400000US55,55,Wisconsin,5.9
0400000US56,56,Wyoming,6.1
0400000US72,72,Puerto Rico,6.6
