location,heartAttack,walkBikePub
Alabama,5.9,1.7
Alaska,3.3,10.2
Arizona,4.4,5.1
Arkansas,6.7,2.3
California,3.5,9.2
Colorado,3.1,7.3
Connecticut,3.7,8.2
Delaware,5,5.3
District of Columbia,2.6,53.1
Florida,5.3,4.2
Georgia,4.5,3.9
Hawaii,3.1,13
Idaho,3.7,4.2
Illinois,3.7,13.1
Indiana,5,3.5
Iowa,4.4,4.9
Kansas,4.2,3.3
Kentucky,6.8,3.8
Louisiana,5.2,3.8
Maine,5.5,5.2
Maryland,3.2,11.6
Massachusetts,4.1,15.5
Michigan,5.2,4.1
Minnesota,3.8,7.5
Mississippi,4.9,1.8
Missouri,5.4,4
Montana,4.2,6.9
Nebraska,3.8,4
Nevada,4.8,6.9
New Hampshire,3.8,3.6
New Jersey,4.2,14.5
New Mexico,4.2,4.2
New York,3.8,35.2
North Carolina,5.1,3.2
North Dakota,4.6,4.5
Ohio,5.4,4.2
Oklahoma,5.5,2.4
Oregon,4.6,11.3
Pennsylvania,4.8,10.1
Rhode Island,4.3,7.4
South Carolina,4.6,3.2
South Dakota,5.1,5.1
Tennessee,5.7,2.5
Texas,3.7,3.5
Utah,2.9,5.6
Vermont,3.8,7.1
Virginia,4.2,7.3
Washington,3.8,10.8
West Virginia,7.4,3.9
Wisconsin,3.7,5.9
Wyoming,4.6,6.1
Puerto Rico,5.3,6.6
